OptimumG Tutorial Tire Data,,,,,,,
i,SA,SR,IA,Fy,Fz,MZ,V
124,-2.598,-0.061,-2.968,2059.779297,-6397.039,-27.24970055,26.916
125,-2.568,-0.061,-2.968,2033.381592,-6384.319,-27.03262711,26.916
126,-2.518,-0.061,-2.968,1988.300415,-6382.319,-26.6679306,26.916
127,-2.478,-0.059,-2.968,1968.571655,-6402.08,-28.33360863,26.916
128,-2.448,-0.059,-2.968,1939.375977,-6429.359,-28.0927124,26.916
129,-2.408,-0.059,-2.968,1901.613892,-6440.799,-27.74707985,26.888
130,-2.358,-0.059,-2.958,1857.167725,-6434.16,-27.29008293,26.916
131,-2.328,-0.059,-2.958,1830.21582,-6417.119,-27.0046463,26.916
132,-2.288,-0.059,-2.968,1792.525269,-6393.919,-26.61480522,26.888
133,-2.248,-0.059,-2.968,1755.44519,-6385.438,-26.21864128,26.888
134,-2.208,-0.059,-2.968,1716.512573,-6401.68,-25.81685066,26.888
135,-2.168,-0.059,-2.968,1676.27063,-6431.839,-25.4024086,26.888
136,-2.128,-0.059,-2.968,1636.347656,-6453.359,-24.97207832,26.916
137,-2.088,-0.061,-2.958,1584.844727,-6452.239,-22.83575821,26.916
138,-2.038,-0.061,-2.958,1538.411377,-6435.2,-22.31236076,26.944
139,-2.008,-0.061,-2.968,1509.845459,-6412.319,-21.98993683,26.944
140,-1.958,-0.061,-2.968,1462.841431,-6399.438,-21.44280624,26.944
141,-1.918,-0.061,-2.958,1425.022217,-6409.839,-20.99484253,26.972
142,-1.888,-0.061,-2.968,1392.011719,-6435.839,-20.63518524,26.944
143,-1.828,-0.061,-2.968,1331.098022,-6462.879,-19.91492081,26.972
144,-1.798,-0.059,-2.968,1313.074707,-6476,-20.99923325,26.944
145,-1.758,-0.059,-2.968,1274.585449,-6465.359,-20.47721291,26.944
146,-1.718,-0.059,-2.978,1235.508057,-6442.879,-19.94320297,26.944
147,-1.678,-0.059,-2.968,1199.434692,-6423.279,-19.42043114,26.944
148,-1.628,-0.059,-2.968,1150.12146,-6418.799,-18.72989082,26.944
149,-1.598,-0.059,-2.968,1118.373901,-6436.319,-18.294384,26.944
150,-1.548,-0.059,-2.968,1065.385132,-6463.6,-17.55450439,26.944
151,-1.508,-0.059,-2.968,1023.203491,-6481.438,-16.95291138,26.944
152,-1.478,-0.059,-2.968,993.3183594,-6478.319,-16.51119614,26.916
153,-1.438,-0.059,-2.968,954.9226074,-6460.719,-15.92927647,26.916
154,-1.398,-0.059,-2.968,917.9418335,-6430,-15.35422325,26.916
155,-1.358,-0.057,-2.968,887.1629028,-6421.438,-15.80516148,26.944
156,-1.318,-0.059,-2.968,837.0778809,-6428.239,-14.12192631,26.944
157,-1.278,-0.059,-2.968,793.6026611,-6452.319,-13.46444511,26.944
158,-1.238,-0.059,-2.958,752.2658081,-6471.039,-12.82166672,26.972
159,-1.198,-0.059,-2.968,709.12146,-6475.919,-12.151371,26.972
160,-1.148,-0.059,-2.968,660.0639648,-6458.719,-11.36046696,26.972
161,-1.108,-0.059,-2.968,622.2304688,-6433.119,-10.73929882,26.972
162,-1.068,-0.059,-2.968,583.593689,-6413.759,-10.10473728,26.972
163,-1.028,-0.059,-2.958,544.4609985,-6411.438,-9.461060524,26.972
164,-0.988,-0.059,-2.968,498.7897644,-6434.479,-8.728807449,26.972
165,-0.948,-0.059,-2.968,454.6590271,-6457.119,-8.009151459,26.972
166,-0.908,-0.059,-2.968,412.4778137,-6463.919,-7.309597969,26.972
167,-0.868,-0.057,-2.968,376.995636,-6451.119,-7.117535591,26.944
168,-0.818,-0.057,-2.958,329.9792175,-6424.799,-6.263437271,26.944
169,-0.788,-0.057,-2.968,300.5144958,-6398.399,-5.72908926,26.944
170,-0.748,-0.057,-2.958,261.347229,-6391.119,-5.019179344,26.944
171,-0.708,-0.057,-2.958,218.3612976,-6399.839,-4.245610714,26.944
172,-0.678,-0.057,-2.958,183.6898193,-6423.839,-3.62282753,26.944
173,-0.638,-0.057,-2.968,137.9307709,-6439.519,-2.79375124,26.944
174,-0.598,-0.057,-2.968,96.09725952,-6438.56,-2.02731657,26.944
175,-0.558,-0.057,-2.968,56.84861374,-6419.2,-1.304002762,26.944
176,-0.518,-0.057,-2.968,18.97901917,-6390.08,-0.605089247,26.944
177,-0.488,-0.057,-2.968,-9.624479294,-6369.68,-0.077844106,26.972
178,-0.448,-0.057,-2.968,-51.94444275,-6372.08,0.701645434,26.972
179,-0.408,-0.057,-2.968,-96.65538025,-6390.879,1.528259277,27
180,-0.368,-0.057,-2.968,-142.1439667,-6414.399,2.373452902,27
181,-0.338,-0.057,-2.968,-173.8392029,-6415.279,2.962096453,27
182,-0.298,-0.057,-2.958,-212.4702148,-6402.959,3.675503969,27
183,-0.258,-0.057,-2.958,-250.4008942,-6374.959,4.372119904,27
184,-0.218,-0.057,-2.968,-290.6445313,-6351.919,5.112876415,27
185,-0.188,-0.057,-2.968,-321.9726257,-6350.56,5.692371845,26.972
186,-0.138,-0.057,-2.958,-375.1260376,-6365.119,6.67953968,26.972
187,-0.108,-0.056,-2.978,-414.9569397,-6387.2,7.659604073,26.972
188,-0.068,-0.057,-2.968,-455.7632446,-6400.08,8.196379662,26.972
189,-0.038,-0.057,-2.968,-486.2390747,-6393.039,8.756878853,26.972
190,0,-0.056,-2.968,-524.5148926,-6368.16,9.730077744,26.972
191,0.048,-0.056,-2.968,-570.3237305,-6337.2,10.57312012,26.944
192,0.068,-0.056,-2.968,-588.3588257,-6317.759,10.89643478,26.944
193,0.108,-0.056,-2.958,-630.9260864,-6330.239,11.70352268,26.944
194,0.138,-0.056,-2.968,-668.6583252,-6358.239,12.4475975,26.944
195,0.188,-0.056,-2.958,-723.0623779,-6378.16,13.48535156,26.944
196,0.218,-0.057,-2.968,-752.9073486,-6377.438,13.64436054,26.972
197,0.258,-0.057,-2.968,-792.6837769,-6363.919,14.3502655,26.972
198,0.298,-0.057,-2.968,-829.4110107,-6332.239,14.9721365,26.972
199,0.338,-0.057,-2.968,-867.1834717,-6307.279,15.61413097,27
200,0.378,-0.057,-2.968,-909.3894043,-6309.279,16.36834908,27
201,0.418,-0.057,-2.968,-953.4644165,-6322.399,17.17003059,27
202,0.458,-0.057,-2.968,-999.7014771,-6348,18.0291748,27
203,0.498,-0.057,-2.958,-1041.845215,-6358.719,18.77960014,27
204,0.538,-0.057,-2.958,-1081.886353,-6348.16,19.46009827,26.972
205,0.588,-0.057,-2.968,-1130.974243,-6320.879,20.26693916,26.972
206,0.618,-0.056,-2.958,-1161.332642,-6294.08,21.33763504,26.972
207,0.648,-0.056,-2.968,-1192.246948,-6282.319,21.86312866,26.972
208,0.698,-0.056,-2.968,-1245.427979,-6286.959,22.79774094,26.944
209,0.748,-0.056,-2.968,-1302.075806,-6310.799,23.83376694,26.944
210,0.788,-0.056,-2.958,-1345.960205,-6330.399,24.62377548,26.944
211,0.828,-0.056,-2.968,-1388.033325,-6323.039,25.32980156,26.944
212,0.878,-0.055,-2.968,-1442.814575,-6301.359,26.95241165,26.944
213,0.898,-0.056,-2.968,-1450.504395,-6266.08,26.20124626,26.944
214,0.948,-0.056,-2.958,-1497.807739,-6248.959,26.90505028,26.944
215,0.978,-0.056,-2.968,-1531.174927,-6252.319,27.4685154,26.944
216,1.008,-0.056,-2.968,-1567.223877,-6277.68,28.13306427,26.944
217,1.048,-0.056,-2.968,-1613.384521,-6301.279,28.95144844,26.944
218,1.088,-0.057,-2.968,-1648.690674,-6308.399,28.67134666,26.972
219,1.128,-0.057,-2.968,-1685.786255,-6286.799,29.15363884,26.972
220,1.168,-0.057,-2.968,-1719.154175,-6247.039,29.49850464,26.972
221,1.218,-0.057,-2.968,-1764.9021,-6218.799,30.05173302,26.972
222,1.258,-0.057,-2.958,-1802.800903,-6210.799,30.54291916,26.972
223,1.288,-0.057,-2.968,-1839.337524,-6231.919,31.16441727,26.972
224,1.328,-0.057,-2.968,-1886.251343,-6260.799,31.94605446,26.972
225,1.368,-0.057,-2.968,-1930.571411,-6276.959,32.63084793,26.944
226,1.408,-0.056,-2.968,-1978.586182,-6267.039,34.24702072,26.944
227,1.458,-0.056,-2.968,-2023.82605,-6238.879,34.72352982,26.944
228,1.498,-0.056,-2.958,-2055.752686,-6204.479,34.94964981,26.916
229,1.538,-0.056,-2.958,-2091.6521,-6182.399,35.29660034,26.916
230,1.578,-0.056,-2.968,-2135.134277,-6188.719,35.90465164,26.916
231,1.618,-0.056,-2.968,-2181.417725,-6214.479,36.63280487,26.916
232,1.648,-0.056,-2.968,-2216.969482,-6237.438,37.20781708,26.916
233,1.688,-0.056,-2.968,-2258.859131,-6243.6,37.75507736,26.916
234,1.728,-0.056,-2.968,-2294.21167,-6221.6,38.03846741,26.916
235,1.768,-0.056,-2.958,-2324.519043,-6185.279,38.13428879,26.916
236,1.808,-0.056,-2.968,-2360.715576,-6162.56,38.40961075,26.916
237,1.838,-0.057,-2.968,-2378.549316,-6158.16,37.41786575,26.916
238,1.878,-0.057,-2.968,-2423.427002,-6180,38.02849579,26.944
239,1.918,-0.057,-2.968,-2468.070801,-6200.879,38.62395859,26.944
240,1.948,-0.057,-2.968,-2500.109131,-6210.639,39.01060486,26.944
241,1.998,-0.057,-2.968,-2546.028564,-6196.959,39.35616302,26.944
242,2.038,-0.057,-2.968,-2576.751709,-6162.959,39.38999557,26.944
243,2.088,-0.057,-2.968,-2618.361084,-6134.959,39.54489517,26.944
244,2.118,-0.057,-2.958,-2642.960938,-6123.2,39.63903046,26.916
245,2.158,-0.057,-2.968,-2687.39917,-6139.759,40.16033173,26.916
246,2.198,-0.057,-2.968,-2732.97876,-6166.319,40.74132538,26.888
247,2.228,-0.057,-2.968,-2767.718262,-6188.319,41.19488525,26.888
248,2.278,-0.057,-2.968,-2814.540527,-6183.839,41.50862885,26.888
249,2.318,-0.057,-2.968,-2844.506592,-6153.68,41.45838547,26.888
250,2.368,-0.057,-2.968,-2881.642334,-6116.879,41.37470245,26.888
251,2.388,-0.057,-2.968,-2892.756592,-6089.6,41.19361496,26.888
252,2.438,-0.057,-2.968,-2941.715088,-6097.2,41.55677414,26.861
253,2.468,-0.057,-2.958,-2976.786377,-6126.799,42.01372528,26.861
254,2.518,-0.057,-2.958,-3030.867676,-6152.719,42.56057739,26.861
255,2.548,-0.057,-2.968,-3063.759521,-6164.879,42.87853241,26.861
256,2.588,-0.057,-2.968,-3096.377441,-6150.319,42.88970184,26.861
257,2.628,-0.059,-2.958,-3092.403809,-6115.039,39.75320816,26.888
258,2.658,-0.059,-2.968,-3109.26416,-6077.039,39.4711647,26.888
259,2.708,-0.059,-2.958,-3151.322754,-6073.119,39.54660797,26.888
260,2.748,-0.059,-2.978,-3196.375,-6094.16,39.95212936,26.888
261,2.798,-0.059,-2.968,-3248.833008,-6124.319,40.38131332,26.888
262,2.838,-0.059,-2.968,-3289.290283,-6140.399,40.64945984,26.888
263,2.878,-0.059,-2.968,-3322.641846,-6135.119,40.66046906,26.888
264,2.908,-0.059,-2.958,-3338.135498,-6107.438,40.35082245,26.861
265,2.948,-0.059,-2.968,-3361.896729,-6071.438,40.00327682,26.861
266,2.968,-0.059,-2.968,-3375.257568,-6060.56,39.89079666,26.861
267,3.018,-0.059,-2.968,-3422.348877,-6074,40.07884598,26.833
268,3.058,-0.059,-2.968,-3467.46167,-6106.399,40.48003387,26.833
269,3.108,-0.059,-2.968,-3519.937988,-6135.919,40.83914566,26.833
270,3.148,-0.059,-2.958,-3553.168945,-6139.438,40.83895493,26.833
271,3.188,-0.059,-2.968,-3581.005615,-6120.799,40.61374664,26.833
272,3.228,-0.059,-2.968,-3600.135254,-6084,40.11403656,26.805
273,3.268,-0.059,-2.958,-3623.157715,-6063.119,39.7675705,26.805
274,3.308,-0.059,-2.968,-3658.749756,-6068.799,39.80066299,26.805
275,3.348,-0.059,-2.968,-3703.141113,-6101.359,40.1383667,26.833
276,3.388,-0.059,-2.968,-3746.882813,-6132.319,40.44957352,26.833
277,3.408,-0.061,-2.968,-3736.791992,-6151.919,37.7568512,26.833
278,3.458,-0.061,-2.968,-3774.30957,-6148.08,37.58468628,26.833
279,3.488,-0.062,-2.958,-3766.873291,-6117.839,35.70789719,26.861
280,3.538,-0.062,-2.968,-3792.577881,-6084.319,35.18987656,26.861
281,3.568,-0.062,-2.968,-3811.78833,-6076.56,34.99662781,26.833
282,3.608,-0.062,-2.958,-3848.29126,-6096.399,35.05755615,26.833
283,3.648,-0.062,-2.968,-3895.289307,-6134.639,35.38316727,26.833
284,3.688,-0.061,-2.968,-3953.299316,-6160.799,36.94384766,26.833
285,3.738,-0.062,-2.968,-3972.009766,-6160.479,35.3137207,26.805
286,3.768,-0.062,-2.968,-3983.312012,-6136.879,34.89287949,26.805
287,3.818,-0.061,-2.958,-4019.933594,-6103.039,35.58660126,26.805
288,3.858,-0.061,-2.968,-4039.647705,-6082,35.13754272,26.805
289,3.898,-0.062,-2.968,-4053.791016,-6091.759,33.68367767,26.777
290,3.938,-0.062,-2.968,-4099.575684,-6131.919,33.95039368,26.777
291,3.978,-0.062,-2.968,-4141.601074,-6164,34.11288452,26.777
292,4.018,-0.062,-2.968,-4173.701172,-6175.039,34.0093956,26.777
293,4.058,-0.062,-2.968,-4191.280273,-6156.08,33.52600479,26.777
294,4.098,-0.062,-2.958,-4198.379395,-6119.759,32.79203033,26.777
295,4.138,-0.063,-2.968,-4193.246094,-6091.6,30.88932228,26.777
296,4.178,-0.063,-2.968,-4218.581055,-6092.08,30.62362671,26.777
297,4.218,-0.063,-2.968,-4258.887207,-6122.799,30.7111969,26.777
298,4.258,-0.064,-2.968,-4287.118164,-6166.56,29.63499641,26.805
299,4.298,-0.064,-2.968,-4328.609863,-6199.919,29.73225594,26.805
300,4.348,-0.064,-2.968,-4359.952148,-6201.68,29.38323402,26.805
301,4.388,-0.064,-2.968,-4367.932129,-6171.039,28.72472191,26.805
302,4.428,-0.066,-2.968,-4334.345215,-6134.799,25.50130844,26.777
303,4.468,-0.064,-2.968,-4388.713867,-6123.119,27.54137802,26.777
304,4.498,-0.064,-2.968,-4416.079102,-6142.319,27.51958466,26.777
305,4.558,-0.064,-2.968,-4473.132813,-6185.2,27.51823807,26.777
306,4.588,-0.064,-2.968,-4508.745605,-6219.6,27.66360092,26.749
307,4.628,-0.064,-2.958,-4537.85498,-6234.879,27.47196007,26.749
308,4.668,-0.064,-2.968,-4549.897461,-6214.799,26.91183853,26.749
309,4.708,-0.064,-2.968,-4552.975098,-6182.719,26.18250656,26.749
310,4.748,-0.064,-2.968,-4558.19043,-6155.759,25.508358,26.749
311,4.788,-0.064,-2.968,-4579.908203,-6158.08,25.16696167,26.722
312,4.828,-0.064,-2.968,-4615.774414,-6184.799,25.10095787,26.722
313,4.868,-0.064,-2.968,-4661.213867,-6227.759,25.21742821,26.722
314,4.918,-0.064,-2.968,-4704.135742,-6258.16,25.08623695,26.722
315,4.958,-0.066,-2.968,-4686.003418,-6260,22.28177071,26.722
316,4.978,-0.066,-2.978,-4678.991699,-6230,21.7983017,26.722
317,5.028,-0.066,-2.978,-4683.548828,-6199.119,20.99461365,26.749
318,5.068,-0.067,-2.968,-4674.656738,-6188.959,19.34282303,26.749
319,5.118,-0.067,-2.968,-4704.487793,-6200.879,18.9790554,26.749
320,5.158,-0.067,-2.968,-4742.414551,-6233.039,18.90586662,26.749
321,5.198,-0.067,-2.968,-4781.834961,-6267.6,18.85165787,26.749
322,5.238,-0.068,-2.958,-4785.428711,-6279.2,17.41314697,26.749
323,5.268,-0.067,-2.968,-4812.09375,-6267.759,18.15044212,26.749
324,5.308,-0.068,-2.968,-4793.215332,-6243.119,16.4039669,26.749
325,5.358,-0.067,-2.968,-4816.421387,-6217.759,16.74727821,26.722
326,5.408,-0.066,-2.968,-4851.823242,-6212.239,17.25741959,26.722
327,5.438,-0.067,-2.968,-4857.560547,-6232.399,16.06035614,26.722
328,5.478,-0.067,-2.968,-4898.189453,-6269.839,15.99847984,26.694
329,5.518,-0.067,-2.968,-4931.818848,-6296.959,15.83337784,26.722
330,5.568,-0.067,-2.968,-4951.819824,-6298.799,15.31571579,26.694
331,5.608,-0.067,-2.968,-4947.392578,-6271.279,14.62593079,26.694
332,5.638,-0.067,-2.968,-4935.812012,-6239.519,14.00720501,26.694
333,5.678,-0.067,-2.968,-4943.254883,-6230.56,13.49335194,26.694
334,5.728,-0.067,-2.968,-4969.397461,-6243.68,13.07098866,26.694
335,5.768,-0.067,-2.968,-5003.663086,-6273.039,12.9007473,26.694
336,5.808,-0.068,-2.968,-5016.88623,-6300.319,11.68692493,26.694
337,5.858,-0.068,-2.968,-5039.667969,-6309.519,11.22075081,26.722
338,5.878,-0.068,-2.968,-5036.283691,-6296.16,10.88819408,26.722
339,5.918,-0.068,-2.968,-5026.200684,-6265.6,10.19398403,26.722
340,5.968,-0.068,-2.968,-5018.261719,-6234.959,9.395586967,26.722
341,5.998,-0.068,-2.968,-5021.57959,-6227.919,9.011267662,26.722
342,6.048,-0.068,-2.968,-5053.157227,-6251.2,8.651983261,26.722
343,6.088,-0.068,-2.968,-5098.224609,-6296.08,8.571644783,26.722
344,6.118,-0.068,-2.968,-5124.719238,-6320.08,8.430780411,26.694
345,6.148,-0.068,-2.968,-5128.565918,-6314.399,8.049842834,26.694
346,6.208,-0.068,-2.968,-5120.754883,-6283.759,7.13873291,26.694
347,6.238,-0.068,-2.968,-5098.661133,-6245.68,6.512575626,26.666
348,6.278,-0.068,-2.968,-5095.150879,-6228.879,5.943651676,26.666
349,6.328,-0.068,-2.968,-5116.477051,-6241.039,5.48101902,26.666
350,6.378,-0.068,-2.968,-5153.504395,-6273.2,5.161785603,26.666
351,6.418,-0.068,-2.968,-5188.730469,-6306,4.954144001,26.666
352,6.458,-0.068,-2.968,-5206.169922,-6316.639,4.581032753,26.666
353,6.488,-0.068,-2.968,-5205.354004,-6307.519,4.1771698,26.666
354,6.528,-0.068,-2.968,-5187.793945,-6275.519,3.502099514,26.666
355,6.578,-0.068,-2.978,-5177.4375,-6248.959,2.777482986,26.666
356,6.618,-0.068,-2.968,-5185.10498,-6250.639,2.329481363,26.666
357,6.658,-0.068,-2.968,-5212.425781,-6274.56,2.043487549,26.666
358,6.708,-0.068,-2.968,-5252.792969,-6312,1.731152296,26.694
359,6.738,-0.07,-2.968,-5240.14209,-6335.2,-0.088524394,26.694
360,6.788,-0.07,-2.968,-5246.927734,-6332.479,-0.647343397,26.694
361,6.838,-0.07,-2.968,-5235.568359,-6308.639,-1.320080757,26.694
362,6.868,-0.07,-2.968,-5209.804199,-6272.319,-1.83612895,26.694
363,6.908,-0.07,-2.968,-5197.768555,-6250.799,-2.372837782,26.694
364,6.948,-0.068,-2.978,-5248.831543,-6259.2,-1.253009558,26.694
365,6.988,-0.068,-2.978,-5287.654785,-6297.438,-1.473097682,26.666
366,7.018,-0.068,-2.968,-5320.8125,-6332.399,-1.618850708,26.666
367,7.068,-0.068,-2.968,-5339.356445,-6345.6,-2.101691484,26.666
368,7.108,-0.068,-2.958,-5330.69873,-6331.039,-2.642680645,26.666
369,7.148,-0.068,-2.968,-5304.147949,-6293.279,-3.27449131,26.638
370,7.188,-0.068,-2.968,-5286.187012,-6267.438,-3.845310926,26.638
371,7.228,-0.068,-2.968,-5282.192871,-6257.759,-4.327070713,26.638
372,7.268,-0.068,-2.968,-5303.646973,-6276.879,-4.665265083,26.638
373,7.298,-0.068,-2.958,-5337.156738,-6312.319,-4.830258369,26.638
374,7.348,-0.068,-2.968,-5367.910156,-6339.119,-5.233228207,26.638
375,7.388,-0.068,-2.988,-5369.972656,-6333.68,-5.669503689,26.638
376,7.428,-0.068,-2.968,-5352.611816,-6313.2,-6.223229885,26.638
377,7.468,-0.07,-2.958,-5290.190918,-6280.319,-8.107387543,26.666
378,7.508,-0.07,-2.968,-5270.733398,-6253.438,-8.598538399,26.666
379,7.548,-0.068,-2.968,-5313.909668,-6259.279,-7.729196072,26.666
380,7.598,-0.07,-2.988,-5305.165527,-6280.16,-9.40186882,26.666
381,7.638,-0.07,-2.968,-5336.98584,-6314.479,-9.721421242,26.666
382,7.678,-0.068,-2.978,-5391.658203,-6331.68,-8.8070364,26.666
383,7.718,-0.068,-2.978,-5386.195313,-6322.799,-9.262164116,26.666
384,7.748,-0.068,-2.968,-5360.585938,-6294.639,-9.686723709,26.666
385,7.798,-0.068,-2.968,-5332.32373,-6261.2,-10.31325245,26.666
386,7.828,-0.068,-2.968,-5325.318359,-6252,-10.64786434,26.638
387,7.878,-0.068,-2.968,-5346.087402,-6271.438,-11.0970211,26.638
388,7.918,-0.068,-2.978,-5381.393066,-6305.438,-11.39369678,26.638
389,7.948,-0.068,-2.968,-5405.818359,-6331.279,-11.63526917,26.638
390,7.988,-0.068,-2.968,-5403.091309,-6326.479,-12.05824184,26.638
391,8.038,-0.068,-2.968,-5388.0625,-6308.479,-12.61335659,26.638
392,8.068,-0.068,-2.968,-5362.890137,-6280.879,-12.98241615,26.638
393,8.108,-0.068,-2.968,-5346.084961,-6261.919,-13.42194557,26.638
394,8.148,-0.068,-2.968,-5347.602539,-6262.319,-13.81366253,26.611
395,8.178,-0.068,-2.968,-5369.323242,-6284.16,-14.06241417,26.611
396,8.218,-0.068,-2.978,-5400.338379,-6314,-14.38603497,26.638
397,8.268,-0.068,-2.968,-5419.320801,-6333.919,-14.8488493,26.638
398,8.298,-0.07,-2.968,-5375.030762,-6320.719,-16.20368004,26.666
399,8.348,-0.07,-2.968,-5346.038574,-6289.519,-16.70553589,26.666
400,8.388,-0.07,-2.968,-5312.32373,-6253.919,-17.10399055,26.666
401,8.418,-0.07,-2.968,-5301.396973,-6242.239,-17.38471603,26.666
402,8.468,-0.07,-2.968,-5323.650879,-6264.719,-17.82481575,26.666
403,8.508,-0.07,-2.968,-5360.242188,-6302.08,-18.16932106,26.666
404,8.548,-0.068,-2.968,-5422.606934,-6333.68,-17.55460548,26.638
405,8.578,-0.07,-2.968,-5399.403809,-6341.839,-18.79090118,26.638
406,8.618,-0.068,-2.968,-5415.936523,-6326.799,-18.21920013,26.638
407,8.658,-0.068,-2.968,-5388.777832,-6299.279,-18.60888863,26.611
408,8.698,-0.068,-2.968,-5361.668945,-6272,-18.98722458,26.611
409,8.738,-0.068,-2.978,-5354.002441,-6263.279,-19.34409142,26.611
410,8.778,-0.068,-2.968,-5377.353027,-6288.719,-19.70480537,26.611
411,8.818,-0.068,-2.968,-5410.333984,-6322.56,-20.06018066,26.611
412,8.858,-0.068,-2.968,-5434.137695,-6347.119,-20.41953087,26.611
413,8.898,-0.068,-2.968,-5432.345703,-6345.919,-20.78086281,26.611
414,8.948,-0.068,-2.968,-5405.999512,-6320.319,-21.22320557,26.611
415,8.988,-0.068,-2.968,-5375.68457,-6290.719,-21.56337547,26.611
416,9.028,-0.068,-2.968,-5360.938965,-6276.879,-21.90185738,26.611
417,9.058,-0.068,-2.968,-5376.782715,-6293.519,-22.170784,26.638
418,9.098,-0.07,-2.968,-5372.601563,-6319.68,-23.33576012,26.638
419,9.148,-0.07,-2.968,-5392.447754,-6340.799,-23.78066826,26.638
420,9.188,-0.07,-2.968,-5396.216309,-6345.6,-24.12077141,26.666
421,9.228,-0.07,-2.968,-5380.726563,-6331.2,-24.43003654,26.638
422,9.268,-0.07,-2.968,-5353.930664,-6305.6,-24.71388626,26.638
423,9.308,-0.07,-2.968,-5332.709961,-6285.68,-24.99897194,26.638
424,9.348,-0.07,-2.968,-5330.709473,-6285.039,-25.3157692,26.638
425,9.378,-0.068,-2.968,-5379.777344,-6306.879,-24.87301445,26.638
426,9.418,-0.068,-2.968,-5415.74707,-6344.08,-25.26154518,26.638
427,9.448,-0.068,-2.968,-5435.897461,-6365.2,-25.54374886,26.611
428,9.488,-0.068,-2.968,-5434.504395,-6365.438,-25.87331772,26.611
429,9.518,-0.068,-2.968,-5401.084473,-6333.68,-26.05799675,26.611
430,9.548,-0.068,-2.968,-5362.10498,-6296.479,-26.22187996,26.611
431,9.568,-0.068,-2.968,-5336.015625,-6271.6,-26.3247509,26.611
432,9.588,-0.068,-2.968,-5344.795898,-6281.2,-26.50265312,26.611
433,9.608,-0.068,-2.968,-5370.268066,-6307.279,-26.71868706,26.611
434,9.618,-0.068,-2.968,-5405.736328,-6342.719,-26.87726784,26.611
435,9.618,-0.068,-2.968,-5415.559082,-6352.399,-26.89865494,26.611
436,9.618,-0.068,-2.968,-5402.489746,-6339.519,-26.87018013,26.611
437,9.988,-0.07,-2.968,-5325.746582,-6308.959,-30.19922256,26.611
438,9.988,-0.07,-2.968,-5296.432617,-6280.08,-30.09063148,26.638
439,9.968,-0.07,-2.968,-5288.366211,-6271.039,-29.91555023,26.638
440,9.958,-0.071,-2.968,-5289.86084,-6285.039,-30.18848991,26.638
441,9.948,-0.071,-2.958,-5325.294434,-6320.799,-30.25748634,26.638
442,9.928,-0.07,-2.978,-5372.310547,-6350.319,-29.91238594,26.638
443,9.918,-0.071,-2.958,-5368.003418,-6361.438,-30.19341278,26.638
444,9.878,-0.07,-2.968,-5362.867676,-6339.759,-29.51210785,26.638
445,9.858,-0.07,-2.968,-5326.737793,-6303.119,-29.24178696,26.638
446,9.828,-0.07,-2.968,-5309.716309,-6284.799,-28.96162605,26.638
447,9.808,-0.07,-2.968,-5313.480957,-6287.519,-28.82482529,26.638
448,9.778,-0.068,-2.978,-5364.325195,-6308.479,-28.03407478,26.638
449,9.748,-0.068,-2.968,-5397.190918,-6340.56,-27.89252663,26.611
450,9.728,-0.068,-2.968,-5421.473145,-6363.438,-27.79468536,26.611
451,9.698,-0.068,-2.958,-5413.73291,-6355.68,-27.54357719,26.611
452,9.678,-0.068,-2.968,-5381.83252,-6322,-27.30139923,26.611
453,9.658,-0.068,-2.968,-5343.291016,-6283.039,-27.05051041,26.611
454,9.638,-0.068,-2.968,-5319.876953,-6258.959,-26.83697319,26.611
455,9.608,-0.068,-2.968,-5343.443359,-6280.799,-26.65764046,26.611
456,9.588,-0.068,-2.958,-5389.419434,-6326.56,-26.60733604,26.638
457,9.568,-0.07,-2.958,-5406.431152,-6369.919,-27.24590492,26.638
458,9.548,-0.07,-2.968,-5416.332031,-6377.6,-27.10276222,26.638
459,9.528,-0.07,-2.968,-5384.851563,-6345.6,-26.86884308,26.666
460,9.508,-0.07,-2.978,-5341.909668,-6300.879,-26.60109901,26.666
461,9.478,-0.07,-2.968,-5314.853027,-6274.08,-26.30789566,26.666
462,9.458,-0.071,-2.968,-5301.878418,-6274.399,-26.49704933,26.666
463,9.438,-0.071,-2.958,-5324.890137,-6297.919,-26.4065094,26.666
464,9.408,-0.07,-2.968,-5374.430176,-6330.719,-25.88641167,26.666
465,9.388,-0.071,-2.968,-5381.083008,-6350.959,-26.13558388,26.666
466,9.368,-0.07,-2.968,-5391.094238,-6345.919,-25.59617043,26.666
467,9.328,-0.07,-2.968,-5358.491211,-6312.08,-25.20931244,26.666
468,9.298,-0.07,-2.968,-5319.669434,-6272.319,-24.89382744,26.666
469,9.268,-0.07,-2.968,-5304.013184,-6255.68,-24.62389183,26.638
470,9.248,-0.07,-2.968,-5316.480469,-6267.519,-24.48585129,26.638
471,9.218,-0.07,-2.968,-5347.356934,-6297.519,-24.2945652,26.638
472,9.178,-0.068,-2.988,-5408.674805,-6326.08,-23.2145195,26.638
473,9.158,-0.068,-2.968,-5427.933594,-6347.359,-23.07321358,26.638
474,9.118,-0.07,-2.968,-5398.830078,-6346.479,-23.53617668,26.638
475,9.088,-0.07,-2.968,-5378.642578,-6325.519,-23.25893784,26.638
476,9.058,-0.07,-2.968,-5353.212402,-6299.279,-22.97702026,26.638
477,9.018,-0.07,-2.968,-5335.796387,-6280.879,-22.62197304,26.666
